Title;Artist;Genre;Year;Bpm;Energy;Danceability;Db;Liveness;Valence;Duration;Acousticness;Speechiness;Popularity
Moscow Mule;Bad Bunny;Latin/Reggaeton;2022;100;67;80;-5;12;29;246;29;3;88
One Dance;Drake;Hip hop/Rap/R&b;2016;104;63;79;-6;33;37;174;1;5;88
One Kiss (with Dua Lipa);Calvin Harris;Pop;2018;124;86;79;-3;8;59;215;4;11;88
Pink + White;Frank Ocean;Hip hop/Rap/R&b;2016;160;55;55;-7;42;55;185;67;11;88
Shape of You;Ed Sheeran;Pop;2017;96;65;83;-3;9;93;234;58;8;88
Shivers;Ed Sheeran;Pop;2021;141;86;79;-3;4;82;208;28;9;88
The Hills;The Weeknd;Hip hop/Rap/R&b;2015;113;56;59;-7;14;14;242;7;5;88
Viva La Vida;Coldplay;Other;2008;138;62;49;-7;11;42;242;10;3;88
Why'd You Only Call Me When You're High?;Arctic Monkeys;Rock/Metal;2013;92;63;69;-6;10;80;161;5;4;88
Bad Habits;Ed Sheeran;Pop;2021;126;89;81;-4;37;54;231;5;3;87
Happier Than Ever;Billie Eilish;Pop;2021;81;23;33;-9;13;30;299;77;3;87
Heartless;Kanye West;Hip hop/Rap/R&b;2008;88;65;79;-6;25;65;211;5;14;87
Heaven;Niall Horan;Pop;2023;92;76;57;-3;33;68;186;7;3;87
I'm Not The Only One;Sam Smith;Pop;2014;82;49;68;-6;8;49;239;53;4;87
In the End;Linkin Park;Rock/Metal;2000;105;86;56;-6;21;40;217;1;6;87
La Jumpa;Arcángel;Hip hop/Rap/R&b;2022;140;23;89;-15;13;20;197;11;18;87
LET GO;Central Cee;Other;2022;146;45;74;-10;21;51;176;86;38;87
MIDDLE OF THE NIGHT;Elley Duhé;Other;2020;186;61;41;-8;12;9;184;2;5;87
Mr. Brightside;The Killers;Rock/Metal;2004;148;91;35;-5;10;24;223;0;7;87
Numb;Linkin Park;Rock/Metal;2003;110;86;50;-4;64;24;186;0;4;87
Photograph;Ed Sheeran;Pop;2014;108;38;61;-10;10;20;259;61;5;87
Say You Won't Let Go;James Arthur;Pop;2016;85;56;36;-7;9;49;211;70;6;87
Something Just Like This;The Chainsmokers;Other;2017;103;64;62;-7;16;45;247;5;3;87
Somewhere Only We Know;Keane;Other;2004;172;67;45;-4;8;30;237;6;3;87
STAY (with Justin Bieber);The Kid LAROI;Hip hop/Rap/R&b;2021;170;76;59;-5;10;48;142;4;5;87
Stressed Out;Twenty One Pilots;Rock/Metal;2015;170;64;73;-6;6;65;202;5;14;87
Style;Taylor Swift;Pop;2014;95;79;59;-6;12;49;231;0;4;87
The Nights;Avicii;EDM;2014;126;84;53;-5;25;65;177;2;4;87
Thunder;Imagine Dragons;Rock/Metal;2017;168;82;61;-5;15;29;187;1;4;87
traitor;Olivia Rodrigo;Pop;2021;101;34;38;-8;12;8;229;69;3;87
Wake Me Up;Avicii;EDM;2013;124;78;53;-6;16;64;247;0;5;87
Where Are You Now;Lost Frequencies;EDM;2021;121;64;67;-8;17;26;148;52;10;87
Woman;Doja Cat;Pop;2021;108;76;82;-4;12;88;173;9;9;87
7 rings;Ariana Grande;Pop;2019;140;32;78;-11;9;33;179;59;33;86
A Sky Full of Stars;Coldplay;Other;2014;125;68;55;-6;21;16;268;1;3;86
Adore You;Harry Styles;Pop;2019;99;77;68;-4;10;57;207;2;5;86
All of Me;John Legend;Other;2013;120;26;42;-7;13;33;270;92;3;86
Before You Go;Lewis Capaldi;Pop;2019;112;57;46;-5;9;18;215;60;6;86
Beggin';Måneskin;Rock/Metal;2017;134;80;71;-5;36;59;212;13;5;86
Closer;The Chainsmokers;Other;2016;95;52;75;-6;11;66;245;41;3;86
Cold Heart - PNAU Remix;Elton John;Rock/Metal;2021;116;80;80;-6;10;94;203;3;3;86
Counting Stars;OneRepublic;Rock/Metal;2013;122;71;66;-5;12;48;257;7;4;86
Daddy Issues;The Neighbourhood;Rock/Metal;2015;85;52;59;-9;12;34;260;7;3;86
deja vu;Olivia Rodrigo;Pop;2021;181;61;44;-7;37;18;216;58;11;86
Demons;Imagine Dragons;Rock/Metal;2012;90;71;51;-3;27;43;178;19;3;86
drivers license;Olivia Rodrigo;Pop;2021;144;43;56;-9;11;14;242;77;6;86
everything i wanted;Billie Eilish;Pop;2019;120;23;70;-14;11;24;245;90;10;86
Fair Trade (with Travis Scott);Drake;Hip hop/Rap/R&b;2021;168;47;67;-9;22;29;291;5;26;86
Flashing Lights;Kanye West;Hip hop/Rap/R&b;2007;90;63;64;-8;39;43;238;4;4;86
FLOWER;JISOO;Pop;2023;124;38;84;-8;7;60;173;2;4;86
Glimpse of Us;Joji;Pop;2022;170;32;44;-9;14;27;233;89;5;86
God's Plan;Drake;Hip hop/Rap/R&b;2018;77;45;75;-9;55;36;199;3;11;86
good 4 u;Olivia Rodrigo;Pop;2021;167;66;56;-5;8;69;178;34;15;86
goosebumps;Travis Scott;Hip hop/Rap/R&b;2016;130;73;84;-3;15;43;244;8;5;86
Hips Don't Lie (feat. Wyclef Jean);Shakira;Pop;2005;100;82;78;-6;41;76;218;28;7;86
HUMBLE.;Kendrick Lamar;Hip hop/Rap/R&b;2017;150;62;91;-7;10;42;177;0;10;86
Kill Bill (feat. Doja Cat);SZA;Pop;2023;89;74;63;-6;19;45;176;8;4;86
Let Me Down Slowly;Alec Benjamin;Other;2018;150;56;65;-6;12;48;169;74;3;86
Lost;Frank Ocean;Hip hop/Rap/R&b;2012;123;60;91;-5;17;50;234;3;23;86
Love On The Brain;Rihanna;Pop;2016;172;64;51;-5;8;38;224;7;5;86
Ni**as In Paris;JAY-Z;Hip hop/Rap/R&b;2011;140;86;79;-6;35;78;219;13;31;86
Nobody Gets Me;SZA;Pop;2022;100;28;36;-8;18;28;181;81;3;86
rockstar (feat. 21 Savage);Post Malone;Hip hop/Rap/R&b;2018;160;52;59;-6;13;13;218;12;7;86
Running Up That Hill (A Deal With God);Kate Bush;Pop;1985;108;55;63;-13;6;19;299;72;5;86
Set Fire to the Rain;Adele;Other;2011;108;67;60;-4;11;45;243;0;2;86
Seven Nation Army;The White Stripes;Rock/Metal;2003;124;45;74;-8;34;28;232;0;7;86
Shallow;Lady Gaga;Pop;2018;96;39;57;-6;23;32;216;37;3;86
STAY (with Justin Bieber);The Kid LAROI;Hip hop/Rap/R&b;2021;170;76;59;-5;10;48;142;4;5;86
telepatía;Kali Uchis;Pop;2020;84;52;65;-9;20;55;160;11;5;86
That's What I Like;Bruno Mars;Pop;2016;134;56;85;-5;9;86;207;1;4;86
The Less I Know The Better;Tame Impala;Other;2015;117;74;64;-4;17;79;216;1;3;86
The Scientist;Coldplay;Other;2002;146;44;56;-7;11;21;310;73;2;86
Till I Collapse;Eminem;Hip hop/Rap/R&b;2002;171;85;55;-3;8;10;298;6;19;86
Too Good At Goodbyes;Sam Smith;Pop;2017;92;37;68;-8;17;48;201;64;4;86
Treat You Better;Shawn Mendes;Pop;2017;83;82;44;-4;11;75;188;11;34;86
Una Noche en Medellín;Cris Mj;Other;2022;96;55;87;-5;5;83;154;9;8;86
Until I Found You;Stephen Sanchez;Other;2021;101;51;54;-6;17;23;178;73;3;86
What Makes You Beautiful;One Direction;Other;2012;125;79;73;-2;6;89;200;1;7;86
All The Stars (with SZA);Kendrick Lamar;Hip hop/Rap/R&b;2018;97;63;70;-5;9;55;232;6;6;85
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault);Taylor Swift;Pop;2021;93;52;63;-9;9;21;613;27;3;85
Belly Dancer;Imanbek;EDM;2022;122;80;85;-5;17;42;151;6;14;85
Feel Good Inc.;Gorillaz;Hip hop/Rap/R&b;2005;139;71;82;-7;61;77;223;1;18;85
Fix You;Coldplay;Other;2005;138;42;21;-9;11;12;296;16;3;85
happier;Olivia Rodrigo;Pop;2021;169;44;40;-10;8;34;176;77;13;85
Hymn for the Weekend;Coldplay;Other;2015;90;69;49;-6;33;41;258;21;4;85
Let Me Love You;DJ Snake;EDM;2016;100;72;65;-5;14;16;206;9;3;85
Levitating (feat. DaBaby);Dua Lipa;Pop;2020;103;83;70;-4;7;92;203;1;6;85
Lost in the Fire (feat. The Weeknd);Gesaffelstein;Other;2019;101;67;66;-12;12;17;202;9;4;85
Love Yourself;Justin Bieber;Pop;2015;100;38;61;-10;28;52;234;84;44;85
LOVE. FEAT. ZACARI.;Kendrick Lamar;Hip hop/Rap/R&b;2017;126;59;80;-7;15;78;213;26;9;85
Lucid Dreams;Juice WRLD;Hip hop/Rap/R&b;2018;84;57;51;-7;34;22;240;35;20;85
Maps;Maroon 5;Pop;2014;120;71;74;-6;6;88;190;2;3;85
One Last Time;Ariana Grande;Pop;2014;125;59;63;-5;10;10;197;9;3;85
